Number,Associated,TaxRank,MinScore,NextMaxScore
27318,Hanrivervirus,Genus,304:04:00,283:06:00
20600,Phikmvvirus,Genus,1462:07:00,515:04:00
17122,Septimatrevirus,Genus,457:01:00,361:08:00
27147,Limdunavirus,Genus,171:04:00,83:03:00
11713,Gordtnkvirus,Genus,192:04:00,138:02:00
5965,Mapvirus,Genus,292:05:00,281:06:00
23108,Septimatrevirus,Genus,168:07:00,77:00:00
20868,Tegunavirus,Genus,161:05:00,92:09:00
13782,Rogunavirus,Genus,122:06:00,122:02:00
12551,Tidunavirus,Genus,99:08:00,93:07:00
18528,Ionavirus,Genus,689:05:00,477:00:00
988,Kafunavirus,Genus,880:08:00,782:04:00
22431,Lightbulbvirus,Genus,145:05:00,142:07:00
26966,Lessievirus,Genus,498:09:00,468:07:00
4566,Slopekvirus,Genus,310:07:00,304:02:00
22726,Vequintavirus,Genus,202:09:00,199:03:00
28033,Getseptimavirus,Genus,306:03:00,194:01:00
4912,Bruynoghevirus,Genus,600:00:00,578:08:00
22224,Chunghsingvirus,Genus,588:09:00,309:05:00
24330,Coopervirus,Genus,97:03:00,86:03:00
22799,Gaprivervirus,Genus,173:00:00,161:01:00
29396,Bastillevirus,Genus,337:04:00,183:01:00
23443,Gordtnkvirus,Genus,244:08:00,234:01:00
30497,Nitunavirus,Genus,216:03:00,123:02:00
2005,Coetzeevirus,Genus,304:05:00,268:04:00
22037,Ithacavirus,Genus,293:02:00,122:02:00
21292,Mieseafarmvirus,Genus,228:06:00,101:02:00
10839,Pipefishvirus,Genus,631:00:00,593:00:00
23637,Vequintavirus,Genus,177:08:00,168:05:00
11273,Nonagvirus,Genus,372:02:00,343:03:00
5006,Lessievirus,Genus,97:06:00,96:09:00
28873,Nickievirus,Genus,195:00:00,193:05:00
21012,Agatevirus,Genus,2245:02:00,2181:04:00
12042,Bruynoghevirus,Genus,634:04:00,564:08:00
13137,Schizotequatrovirus,Genus,211:09:00,77:07:00
6749,Tequintavirus,Genus,150:07:00,137:05:00
6155,Kayvirus,Genus,823:08:00,820:04:00
23622,Vequintavirus,Genus,412:05:00,118:01:00
16110,Nazgulvirus,Genus,307:09:00,307:08:00
28065,Okubovirus,Genus,100:07:00,89:09:00
10280,Vhmlvirus,Genus,279:08:00,266:04:00
11703,Jilinvirus,Genus,123:04:00,87:02:00
5005,Cronusvirus,Genus,207:01:00,158:02:00
1897,Jerseyvirus,Genus,188:05:00,188:03:00
18703,Cequinquevirus,Genus,128:09:00,119:05:00
29096,Sextaecvirus,Genus,207:01:00,110:08:00
16393,Titanvirus,Genus,823:03:00,760:09:00
23782,Tinduovirus,Genus,581:03:00,348:03:00
4898,Cinunavirus,Genus,415:09:00,206:02:00
10031,Bixzunavirus,Genus,2013:08:00,156:00:00
15686,Gilesvirus,Genus,284:06:00,253:08:00
24336,Phayoncevirus,Genus,183:03:00,145:05:00
4821,Septimatrevirus,Genus,178:09:00,171:05:00
17851,Elvirus,Genus,210:06:00,184:05:00
17114,Xiamenvirus,Genus,445:04:00,382:07:00
4560,Dhakavirus,Genus,198:01:00,196:05:00
4835,Bifseptvirus,Genus,359:06:00,337:03:00
10925,Bixzunavirus,Genus,400:09:00,261:03:00
26551,Klementvirus,Genus,1854:00:00,1781:04:00
23623,Vequintavirus,Genus,1304:02:00,1008:05:00
18539,Siminovitchvirus,Genus,159:03:00,106:01:00
5893,Dhakavirus,Genus,203:04:00,199:07:00
4955,Alcyoneusvirus,Genus,893:03:00,830:04:00
7994,Pecentumvirus,Genus,180:01:00,128:05:00
18018,Lessievirus,Genus,120:01:00,117:04:00
31021,Otagovirus,Genus,173:07:00,154:00:00
20599,Seunavirus,Genus,1080:09:00,979:09:00
22673,Timquatrovirus,Genus,172:08:00,129:05:00
12139,Abouovirus,Genus,206:07:00,205:09:00
21618,Kayvirus,Genus,565:02:00,469:04:00
14066,Hawkeyevirus,Genus,143:03:00,134:09:00
5010,Zindervirus,Genus,231:01:00,176:02:00
5733,Inhavirus,Genus,194:09:00,151:05:00
21747,Popoffvirus,Genus,670:09:00,453:01:00
23430,Gordtnkvirus,Genus,367:03:00,240:05:00
10032,Pegunavirus,Genus,1395:01:00,816:02:00
22233,Timquatrovirus,Genus,466:03:00,243:02:00
27404,Yuavirus,Genus,353:02:00,73:01:00
12456,Timquatrovirus,Genus,310:01:00,299:09:00
23025,Kuravirus,Genus,926:05:00,321:05:00
14713,Fromanvirus,Genus,142:06:00,118:09:00
24480,Xiamenvirus,Genus,117:03:00,115:08:00
11106,Gaiavirus,Genus,959:04:00,388:09:00
11270,Unaquatrovirus,Genus,254:00:00,105:09:00
25591,Lomovskayavirus,Genus,375:09:00,353:04:00
21854,Mapvirus,Genus,233:05:00,156:00:00
26957,Lessievirus,Genus,337:03:00,300:08:00
22672,Omegavirus,Genus,194:00:00,175:07:00
23417,Gordtnkvirus,Genus,409:09:00,368:02:00
4816,Septimatrevirus,Genus,139:01:00,135:08:00
27857,Helsingorvirus,Genus,207:08:00,203:02:00
24028,Emdodecavirus,Genus,399:02:00,226:01:00
14187,Chunghsingvirus,Genus,315:05:00,155:02:00
12138,Jimmervirus,Genus,588:07:00,587:07:00
10928,Mardecavirus,Genus,183:02:00,162:05:00
24502,Patiencevirus,Genus,4635:05:00,2277:08:00
14441,Chenonavirus,Genus,216:05:00,215:09:00
9503,Liefievirus,Genus,524:03:00,522:00:00
11069,Bixzunavirus,Genus,581:08:00,175:05:00
10978,Bixzunavirus,Genus,2292:07:00,157:05:00
10460,Fletchervirus,Genus,164:05:00,147:04:00
16942,Seuratvirus,Genus,255:04:00,226:03:00
27083,Yokohamavirus,Genus,117:02:00,52:08:00
10819,Pegunavirus,Genus,3139:04:00,2920:00:00
30929,Liefievirus,Genus,337:02:00,274:05:00
24479,Cronusvirus,Genus,547:02:00,514:07:00
13787,Webervirus,Genus,353:06:00,338:04:00
1988,Kostyavirus,Genus,365:08:00,283:03:00
11572,Vequintavirus,Genus,255:00:00,235:05:00
21617,Perisivirus,Genus,167:05:00,111:08:00
23982,Emdodecavirus,Genus,86:02:00,58:03:00
6127,Kayvirus,Genus,185:02:00,181:02:00
10026,Bixzunavirus,Genus,1069:07:00,812:07:00
27718,Oshimavirus,Genus,272:07:00,244:01:00
24451,Cequinquevirus,Genus,458:01:00,158:08:00
24483,Cronusvirus,Genus,491:08:00,426:05:00
5738,Kostyavirus,Genus,414:05:00,167:09:00
30392,Erskinevirus,Genus,142:04:00,131:02:00
22400,Enhodamvirus,Genus,456:06:00,92:06:00
12713,Friunavirus,Genus,112:00:00,104:03:00
22901,Steinhofvirus,Genus,660:01:00,286:01:00
22900,Steinhofvirus,Genus,908:04:00,620:04:00
18686,Abouovirus,Genus,161:04:00,160:00:00
29239,Alcyoneusvirus,Genus,404:03:00,315:02:00
10386,Firehammervirus,Genus,516:07:00,274:07:00
26979,Lessievirus,Genus,2438:04:00,1469:01:00
28082,Dhillonvirus,Genus,788:00:00,379:02:00
18468,Slashvirus,Genus,545:06:00,400:07:00
29268,Popoffvirus,Genus,323:09:00,320:05:00
11717,Yokohamavirus,Genus,438:02:00,433:07:00
24478,Xiamenvirus,Genus,648:04:00,540:04:00
27033,Rauchvirus,Genus,874:07:00,862:06:00
27926,Mieseafarmvirus,Genus,218:06:00,75:04:00
27148,Seunavirus,Genus,274:00:00,144:07:00
26466,Chenonavirus,Genus,106:00:00,99:08:00
22005,Corndogvirus,Genus,135:08:00,110:01:00
27364,Dhillonvirus,Genus,154:06:00,142:06:00
26009,Lightbulbvirus,Genus,431:07:00,308:07:00
23744,Emdodecavirus,Genus,71:04:00,58:07:00
891,Salasvirus,Genus,666:01:00,614:02:00
20562,Corndogvirus,Genus,423:06:00,283:09:00
8697,Pecentumvirus,Genus,131:05:00,96:05:00
13972,Omegavirus,Genus,454:01:00,409:05:00
14018,Omegavirus,Genus,113:04:00,99:09:00
27384,Yuavirus,Genus,212:08:00,102:03:00
29100,Certrevirus,Genus,289:06:00,241:07:00
18712,Nonagvirus,Genus,120:02:00,119:06:00
23501,Titanvirus,Genus,714:00:00,353:01:00
3031,Firehammervirus,Genus,811:09:00,753:09:00
2957,Salasvirus,Genus,514:00:00,362:05:00
16069,Caeruleovirus,Genus,228:05:00,227:06:00
8696,Certrevirus,Genus,308:02:00,307:07:00
16935,Septimatrevirus,Genus,486:06:00,472:07:00
11381,Phifelvirus,Genus,186:06:00,184:01:00
10985,Bixzunavirus,Genus,194:03:00,135:00:00
18796,Lightbulbvirus,Genus,335:08:00,206:01:00
16752,Certrevirus,Genus,207:09:00,204:07:00
23688,Vequintavirus,Genus,204:04:00,57:03:00
22895,Septimatrevirus,Genus,924:08:00,807:08:00
4438,Tulanevirus,Genus,181:06:00,181:04:00
12040,Bruynoghevirus,Genus,245:00:00,242:03:00
5859,Dhillonvirus,Genus,204:05:00,167:07:00
22711,Homburgvirus,Genus,177:00:00,166:00:00
10363,Firehammervirus,Genus,295:09:00,240:05:00
18787,Cbastvirus,Genus,646:06:00,215:06:00
30210,Homburgvirus,Genus,195:07:00,188:02:00
12415,Fishburnevirus,Genus,84:03:00,83:07:00
11163,Kostyavirus,Genus,430:01:00,408:00:00
21987,Corndogvirus,Genus,290:06:00,157:08:00
18501,Siminovitchvirus,Genus,203:06:00,168:04:00
10222,Skunavirus,Genus,163:05:00,69:04:00
16937,Cbastvirus,Genus,218:07:00,218:00:00
1922,Detrevirus,Genus,209:04:00,199:08:00
20873,Dhakavirus,Genus,314:05:00,281:04:00
11655,Bequatrovirus,Genus,482:02:00,471:08:00
18795,Perisivirus,Genus,412:07:00,159:04:00
5513,Steinhofvirus,Genus,363:02:00,172:06:00
8405,Elvirus,Genus,154:02:00,150:08:00
5998,Tidunavirus,Genus,358:05:00,347:02:00
9988,Bixzunavirus,Genus,1092:05:00,181:08:00
13314,Tidunavirus,Genus,521:09:00,483:06:00
26171,Lessievirus,Genus,670:02:00,669:08:00
27334,Tunavirus,Genus,372:09:00,310:04:00
22805,Ithacavirus,Genus,159:00:00,146:00:00
3057,Karamvirus,Genus,144:06:00,143:08:00
14938,Timquatrovirus,Genus,94:05:00,86:03:00
15268,Cheoctovirus,Genus,708:01:00,281:09:00
16754,Biquartavirus,Genus,229:09:00,224:09:00
27716,Sasvirus,Genus,72:08:00,72:01:00
10447,Firehammervirus,Genus,609:02:00,296:00:00
937,Caeruleovirus,Genus,811:05:00,695:04:00
10465,Firehammervirus,Genus,237:04:00,205:01:00
14386,Omegavirus,Genus,261:00:00,241:08:00
5194,Pegunavirus,Genus,124:03:00,120:02:00
21404,Krischvirus,Genus,160:09:00,131:07:00
941,Jedunavirus,Genus,278:05:00,278:03:00
25542,Okubovirus,Genus,285:09:00,254:02:00
5608,Tequintavirus,Genus,922:07:00,824:09:00
13329,Emdodecavirus,Genus,257:04:00,244:09:00
20970,Corndogvirus,Genus,250:04:00,150:02:00
23350,Nonagvirus,Genus,465:04:00,458:07:00
12996,Schizotequatrovirus,Genus,158:04:00,101:07:00
18469,Siminovitchvirus,Genus,543:08:00,527:00:00
27930,Mieseafarmvirus,Genus,188:01:00,47:04:00
1193,Nankokuvirus,Genus,288:02:00,272:09:00
1992,Chunghsingvirus,Genus,870:09:00,749:00:00
10361,Firehammervirus,Genus,227:08:00,223:04:00
1941,Vhmlvirus,Genus,98:08:00,97:08:00
5949,Firehammervirus,Genus,339:04:00,317:03:00
10467,Firehammervirus,Genus,423:01:00,255:06:00
15800,Pagevirus,Genus,73:06:00,72:07:00
18825,Ficleduovirus,Genus,314:07:00,298:07:00
11274,Septimatrevirus,Genus,1104:03:00,720:00:00
14121,Omegavirus,Genus,484:06:00,449:00:00
11896,Alcyoneusvirus,Genus,175:05:00,172:02:00
6247,Kayvirus,Genus,172:02:00,161:05:00
16198,Schizotequatrovirus,Genus,490:08:00,267:02:00
23460,Gordtnkvirus,Genus,316:03:00,314:03:00
16779,Tulanevirus,Genus,609:00:00,408:07:00
24486,Fromanvirus,Genus,258:08:00,113:05:00
18557,Siminovitchvirus,Genus,343:00:00,306:07:00
18804,Drulisvirus,Genus,326:05:00,286:07:00
15884,Pipefishvirus,Genus,366:07:00,297:00:00
18785,Karamvirus,Genus,253:07:00,227:09:00
4627,Karamvirus,Genus,341:01:00,338:09:00
1884,Kostyavirus,Genus,373:03:00,287:01:00
24955,Lessievirus,Genus,381:05:00,375:01:00
24138,Emdodecavirus,Genus,185:04:00,163:06:00
20852,Zindervirus,Genus,147:01:00,116:04:00
6750,Tequintavirus,Genus,285:04:00,256:03:00
10415,Seuratvirus,Genus,291:06:00,280:08:00
10421,Kuravirus,Genus,188:05:00,171:03:00
19572,Mosigvirus,Genus,629:08:00,616:08:00
30748,Lightbulbvirus,Genus,195:03:00,78:00:00
17857,Tidunavirus,Genus,271:07:00,254:05:00
5989,Tidunavirus,Genus,861:05:00,852:05:00
21737,Jedunavirus,Genus,90:06:00,75:04:00
19990,Saphexavirus,Genus,89:02:00,71:04:00
4900,Perisivirus,Genus,117:09:00,87:00:00
9941,Wildcatvirus,Genus,511:05:00,144:05:00
22229,Timquatrovirus,Genus,473:08:00,467:00:00
4408,Mosigvirus,Genus,241:08:00,238:07:00
22702,Sepunavirus,Genus,418:03:00,406:07:00
18410,Cronusvirus,Genus,193:09:00,125:05:00
27342,Svunavirus,Genus,386:02:00,382:01:00
5777,Homburgvirus,Genus,426:02:00,378:09:00
5991,Chiangmaivirus,Genus,560:03:00,498:01:00
13313,Seoulvirus,Genus,662:05:00,654:08:00
16963,Cbastvirus,Genus,132:01:00,122:08:00
27928,Mieseafarmvirus,Genus,216:04:00,116:00:00
978,Gaprivervirus,Genus,261:02:00,220:02:00
10364,Firehammervirus,Genus,851:08:00,394:04:00
10458,Firehammervirus,Genus,255:01:00,191:01:00
28628,Limestonevirus,Genus,2085:01:00,1569:05:00
822,Nankokuvirus,Genus,175:06:00,170:03:00
9524,Inhavirus,Genus,524:00:00,352:06:00
6001,Erskinevirus,Genus,578:01:00,573:04:00
17871,Elvirus,Genus,228:03:00,207:04:00
6174,Kayvirus,Genus,341:03:00,300:01:00
3013,Lightbulbvirus,Genus,159:09:00,155:03:00
24625,Xiamenvirus,Genus,151:04:00,99:07:00
4838,Mardecavirus,Genus,249:02:00,150:01:00
10013,Bixzunavirus,Genus,1253:00:00,1152:00:00
11798,Tijeunavirus,Genus,550:03:00,302:07:00
5020,Bruynoghevirus,Genus,290:04:00,279:02:00
18681,Jimmervirus,Genus,425:07:00,295:00:00
1205,Slashvirus,Genus,307:03:00,173:04:00
5729,Siminovitchvirus,Genus,581:01:00,506:04:00
10002,Bixzunavirus,Genus,498:09:00,173:07:00
27546,Gelderlandvirus,Genus,120:08:00,115:05:00
4870,Kuravirus,Genus,245:06:00,242:06:00
24332,Minunavirus,Genus,145:00:00,143:01:00
19968,Kostyavirus,Genus,251:04:00,102:09:00
6175,Bequatrovirus,Genus,341:04:00,340:01:00
26711,Krischvirus,Genus,118:08:00,91:05:00
16761,Tulanevirus,Genus,94:05:00,85:03:00
6177,Pecentumvirus,Genus,275:03:00,273:05:00
11010,Bixzunavirus,Genus,192:04:00,172:01:00
10924,Bixzunavirus,Genus,114:08:00,91:09:00
14577,Bongovirus,Genus,368:06:00,367:07:00
10022,Bixzunavirus,Genus,670:08:00,316:07:00
6119,Kayvirus,Genus,414:04:00,398:06:00
22531,Tequintavirus,Genus,490:01:00,417:03:00
23927,Emdodecavirus,Genus,105:04:00,48:08:00
27975,Bequatrovirus,Genus,115:01:00,109:00:00
21865,Liefievirus,Genus,127:01:00,75:06:00
5968,Agricanvirus,Genus,270:09:00,259:04:00
11944,Karamvirus,Genus,265:01:00,170:07:00
12907,Schizotequatrovirus,Genus,274:00:00,66:00:00
22639,Gaprivervirus,Genus,160:03:00,149:01:00
23934,Emdodecavirus,Genus,128:05:00,77:06:00
18639,Siminovitchvirus,Genus,142:05:00,53:05:00
24456,Slopekvirus,Genus,459:03:00,412:07:00
4579,Karamvirus,Genus,80:09:00,80:08:00
22640,Gaprivervirus,Genus,428:03:00,388:02:00
9946,Emdodecavirus,Genus,253:06:00,147:00:00
18551,Siminovitchvirus,Genus,191:01:00,160:01:00
21684,Cheoctovirus,Genus,984:07:00,559:08:00
10886,Pegunavirus,Genus,239:04:00,161:08:00
5758,Inhavirus,Genus,255:06:00,242:06:00
21514,Emdodecavirus,Genus,123:04:00,99:07:00
17259,Pahexavirus,Genus,145:00:00,
30205,Gelderlandvirus,Genus,111:02:00,109:01:00
10856,Rosebushvirus,Genus,386:00:00,338:01:00
28019,Tijeunavirus,Genus,161:00:00,103:02:00
1870,Detrevirus,Genus,125:06:00,107:09:00
28076,Lederbergvirus,Genus,164:06:00,157:04:00
14504,Timquatrovirus,Genus,216:02:00,206:07:00
11382,Phifelvirus,Genus,94:05:00,94:04:00
16737,Tulanevirus,Genus,84:03:00,78:01:00
10835,Rosebushvirus,Genus,103:00:00,94:03:00
6182,Kayvirus,Genus,772:05:00,757:08:00
10892,Pegunavirus,Genus,149:08:00,107:01:00
24626,Gilesvirus,Genus,141:04:00,136:05:00
27933,Mieseafarmvirus,Genus,338:02:00,43:09:00
4649,Mosigvirus,Genus,142:09:00,141:08:00
21013,Agatevirus,Genus,375:07:00,170:05:00
15892,Pipefishvirus,Genus,100:06:00,92:06:00
23649,Vequintavirus,Genus,191:08:00,191:03:00
6186,Kayvirus,Genus,211:08:00,188:04:00
18541,Silviavirus,Genus,172:09:00,165:05:00
18863,Winklervirus,Genus,154:02:00,130:04:00
10854,Pegunavirus,Genus,198:09:00,151:00:00
5866,Myxoctovirus,Genus,382:05:00,307:00:00
4847,Rigallicvirus,Genus,508:08:00,290:04:00
28173,Dhillonvirus,Genus,141:02:00,136:04:00
13294,Phikzvirus,Genus,569:00:00,358:09:00
14631,Plotvirus,Genus,768:04:00,768:01:00
30750,Lightbulbvirus,Genus,165:03:00,64:02:00
21944,Corndogvirus,Genus,261:02:00,161:01:00
10847,Pegunavirus,Genus,224:05:00,214:04:00
10809,Pegunavirus,Genus,326:09:00,298:07:00
28113,Efquatrovirus,Genus,145:07:00,77:02:00
10033,Bixzunavirus,Genus,501:04:00,156:05:00
10859,Pegunavirus,Genus,85:05:00,72:05:00
14765,Fromanvirus,Genus,85:06:00,77:09:00
18098,Andromedavirus,Genus,496:08:00,494:09:00
29297,Homburgvirus,Genus,155:06:00,115:04:00
18652,Abouovirus,Genus,143:03:00,141:06:00
13776,Tunavirus,Genus,198:08:00,191:04:00
5775,Inhavirus,Genus,273:00:00,217:01:00
14556,Reyvirus,Genus,87:03:00,66:01:00
6255,Kayvirus,Genus,126:04:00,119:00:00
30170,Cequinquevirus,Genus,192:08:00,91:03:00
